source	transformation	target
Xavier behind Ynez sees himself	sem	 see ( xavier , xavier ) & behind ( xavier , ynez ) 
Ynez sees Claire	sem	see ( ynez , claire )
Peter runs	sem	run ( peter )
Ursa beside Willow sees Willow	sem	 see ( ursa , willow ) & beside ( ursa , willow ) 
Willow sees herself	sem	see ( willow , willow )
Kate runs	sem	run ( kate )
Ron by Thomas runs	sem	 run ( ron ) & by ( ron , thomas ) 
Victor behind Claire runs	sem	 run ( victor ) & behind ( victor , claire ) 
Sarah behind Zack runs	sem	 run ( sarah ) & behind ( sarah , zack ) 
Peter by Ellie sees Ynez	sem	 see ( peter , ynez ) & by ( peter , ellie ) 
Xavier behind Isla sees himself	sem	 see ( xavier , xavier ) & behind ( xavier , isla ) 
Ynez behind Thomas sees Henry	sem	 see ( ynez , henry ) & behind ( ynez , thomas ) 
Ned near Peter runs	sem	 run ( ned ) & near ( ned , peter ) 
Willow sees Willow	sem	see ( willow , willow )
Isla sees herself	sem	see ( isla , isla )
Olivia sees Quinn	sem	see ( olivia , quinn )
Willow by Henry sees herself	sem	 see ( willow , willow ) & by ( willow , henry ) 
Daniel behind Kate sees Ynez	sem	 see ( daniel , ynez ) & behind ( daniel , kate ) 
Ynez sees herself	sem	see ( ynez , ynez )
Quinn behind Willow runs	sem	 run ( quinn ) & behind ( quinn , willow ) 
Kate sees Grace	sem	see ( kate , grace )
Ron sees Thomas	sem	see ( ron , thomas )
Ron sees himself	sem	see ( ron , ron )
Peter near Thomas sees himself	sem	 see ( peter , peter ) & near ( peter , thomas ) 
Ursa beside Zack sees herself	sem	 see ( ursa , ursa ) & beside ( ursa , zack ) 
Victor behind Willow runs	sem	 run ( victor ) & behind ( victor , willow ) 
Kate by Victor sees Claire	sem	 see ( kate , claire ) & by ( kate , victor ) 
Isla runs	sem	run ( isla )
Victor beside Isla sees himself	sem	 see ( victor , victor ) & beside ( victor , isla ) 
Isla runs	sem	run ( isla )
Isla behind Peter sees Ned	sem	 see ( isla , ned ) & behind ( isla , peter ) 
Thomas behind Mary runs	sem	 run ( thomas ) & behind ( thomas , mary ) 
Ron runs	sem	run ( ron )
Grace runs	sem	run ( grace )
Sarah sees Ynez	sem	see ( sarah , ynez )
Daniel sees Isla	sem	see ( daniel , isla )
Olivia behind Grace sees Ron	sem	 see ( olivia , ron ) & behind ( olivia , grace ) 
Thomas beside Isla runs	sem	 run ( thomas ) & beside ( thomas , isla ) 
Grace beside Olivia sees herself	sem	 see ( grace , grace ) & beside ( grace , olivia ) 
Willow beside Isla sees Mary	sem	 see ( willow , mary ) & beside ( willow , isla ) 
Bob behind Quinn sees Zack	sem	 see ( bob , zack ) & behind ( bob , quinn ) 
Mary beside Leo runs	sem	 run ( mary ) & beside ( mary , leo ) 
Zack near Ron sees himself	sem	 see ( zack , zack ) & near ( zack , ron ) 
Claire beside Thomas runs	sem	 run ( claire ) & beside ( claire , thomas ) 
Leo near Zack sees Ned	sem	 see ( leo , ned ) & near ( leo , zack ) 
Mary sees herself	sem	see ( mary , mary )
Grace by Olivia sees Quinn	sem	 see ( grace , quinn ) & by ( grace , olivia ) 
Leo runs	sem	run ( leo )
Ellie sees Ynez	sem	see ( ellie , ynez )
Alice beside John runs	sem	 run ( alice ) & beside ( alice , john ) 
Alice sees herself	sem	see ( alice , alice )
John beside Claire sees himself	sem	 see ( john , john ) & beside ( john , claire ) 
Sarah runs	sem	run ( sarah )
Alice runs	sem	run ( alice )
Ron sees Peter	sem	see ( ron , peter )
Mary sees herself	sem	see ( mary , mary )
Sarah behind Olivia runs	sem	 run ( sarah ) & behind ( sarah , olivia ) 
Ned sees himself	sem	see ( ned , ned )
Ellie sees Zack	sem	see ( ellie , zack )
Mary sees herself	sem	see ( mary , mary )
Xavier behind Ellie sees Leo	sem	 see ( xavier , leo ) & behind ( xavier , ellie ) 
Grace runs	sem	run ( grace )
Kate sees Zack	sem	see ( kate , zack )
Ynez near Leo runs	sem	 run ( ynez ) & near ( ynez , leo ) 
Leo behind Claire runs	sem	 run ( leo ) & behind ( leo , claire ) 
Mary runs	sem	run ( mary )
Peter beside Olivia sees Mary	sem	 see ( peter , mary ) & beside ( peter , olivia ) 
Ned behind Bob sees Willow	sem	 see ( ned , willow ) & behind ( ned , bob ) 
Ron sees Ron	sem	see ( ron , ron )
John sees himself	sem	see ( john , john )
Grace runs	sem	run ( grace )
Ellie sees herself	sem	see ( ellie , ellie )
Zack behind Alice runs	sem	 run ( zack ) & behind ( zack , alice ) 
Olivia beside John runs	sem	 run ( olivia ) & beside ( olivia , john ) 
Ned by Isla sees Zack	sem	 see ( ned , zack ) & by ( ned , isla ) 
Ursa sees Xavier	sem	see ( ursa , xavier )
Ynez runs	sem	run ( ynez )
Bob near Peter sees Olivia	sem	 see ( bob , olivia ) & near ( bob , peter ) 
Leo runs	sem	run ( leo )
Kate runs	sem	run ( kate )
Leo sees himself	sem	see ( leo , leo )
Henry by Mary sees Henry	sem	 see ( henry , henry ) & by ( henry , mary ) 
Thomas by Ron sees Henry	sem	 see ( thomas , henry ) & by ( thomas , ron ) 
Mary beside Kate runs	sem	 run ( mary ) & beside ( mary , kate ) 
Mary behind John runs	sem	 run ( mary ) & behind ( mary , john ) 
John sees Claire	sem	see ( john , claire )
Isla sees Quinn	sem	see ( isla , quinn )
Zack behind Leo sees Willow	sem	 see ( zack , willow ) & behind ( zack , leo ) 
Henry sees himself	sem	see ( henry , henry )
Ursa sees John	sem	see ( ursa , john )
Alice by Victor sees herself	sem	 see ( alice , alice ) & by ( alice , victor ) 
Willow sees Frank	sem	see ( willow , frank )
Victor sees Grace	sem	see ( victor , grace )
Ned by Claire sees Ynez	sem	 see ( ned , ynez ) & by ( ned , claire ) 
Xavier runs	sem	run ( xavier )
Henry behind John sees himself	sem	 see ( henry , henry ) & behind ( henry , john ) 
Ned sees himself	sem	see ( ned , ned )
Ursa by Isla runs	sem	 run ( ursa ) & by ( ursa , isla ) 
Peter behind Ursa sees himself	sem	 see ( peter , peter ) & behind ( peter , ursa ) 
Grace sees herself	sem	see ( grace , grace )
Isla near Peter sees herself	sem	 see ( isla , isla ) & near ( isla , peter ) 
Sarah sees Grace	sem	see ( sarah , grace )
Ellie runs	sem	run ( ellie )
Henry near Zack sees Claire	sem	 see ( henry , claire ) & near ( henry , zack ) 
Ursa sees herself	sem	see ( ursa , ursa )
Alice behind Ellie runs	sem	 run ( alice ) & behind ( alice , ellie ) 
Sarah sees Xavier	sem	see ( sarah , xavier )
Ned sees Ron	sem	see ( ned , ron )
Victor behind Ellie runs	sem	 run ( victor ) & behind ( victor , ellie ) 
Daniel runs	sem	run ( daniel )
Mary runs	sem	run ( mary )
Zack sees Grace	sem	see ( zack , grace )
John sees Leo	sem	see ( john , leo )
Mary runs	sem	run ( mary )
Peter sees Daniel	sem	see ( peter , daniel )
Ynez beside Alice runs	sem	 run ( ynez ) & beside ( ynez , alice ) 
Thomas behind Leo sees himself	sem	 see ( thomas , thomas ) & behind ( thomas , leo ) 
Mary runs	sem	run ( mary )
Frank beside Ellie sees himself	sem	 see ( frank , frank ) & beside ( frank , ellie ) 
Grace sees herself	sem	see ( grace , grace )
Grace sees herself	sem	see ( grace , grace )
Mary near Leo sees John	sem	 see ( mary , john ) & near ( mary , leo ) 
Xavier beside Mary sees Zack	sem	 see ( xavier , zack ) & beside ( xavier , mary ) 
Ron sees Kate	sem	see ( ron , kate )
Ynez sees Ursa	sem	see ( ynez , ursa )
Alice sees Willow	sem	see ( alice , willow )
Quinn near Zack sees Ned	sem	 see ( quinn , ned ) & near ( quinn , zack ) 
Zack by Sarah runs	sem	 run ( zack ) & by ( zack , sarah ) 
Isla by Thomas sees herself	sem	 see ( isla , isla ) & by ( isla , thomas ) 
Mary sees herself	sem	see ( mary , mary )
Ron beside Claire sees Frank	sem	 see ( ron , frank ) & beside ( ron , claire ) 
Sarah runs	sem	run ( sarah )
Leo by Ellie sees Quinn	sem	 see ( leo , quinn ) & by ( leo , ellie ) 
Kate runs	sem	run ( kate )
Claire beside Thomas runs	sem	 run ( claire ) & beside ( claire , thomas ) 
Zack beside Alice sees Ron	sem	 see ( zack , ron ) & beside ( zack , alice ) 
Olivia runs	sem	run ( olivia )
Ursa behind Thomas runs	sem	 run ( ursa ) & behind ( ursa , thomas ) 
Sarah runs	sem	run ( sarah )
Ursa behind Victor runs	sem	 run ( ursa ) & behind ( ursa , victor ) 
Grace sees herself	sem	see ( grace , grace )
Leo behind Xavier sees himself	sem	 see ( leo , leo ) & behind ( leo , xavier ) 
Ynez behind Claire sees Ynez	sem	 see ( ynez , ynez ) & behind ( ynez , claire ) 
John near Daniel runs	sem	 run ( john ) & near ( john , daniel ) 
Zack behind Ellie runs	sem	 run ( zack ) & behind ( zack , ellie ) 
Isla behind Mary sees herself	sem	 see ( isla , isla ) & behind ( isla , mary ) 
Frank near Xavier runs	sem	 run ( frank ) & near ( frank , xavier ) 
Zack sees Kate	sem	see ( zack , kate )
Zack by Xavier runs	sem	 run ( zack ) & by ( zack , xavier ) 
Ron behind Xavier sees Ellie	sem	 see ( ron , ellie ) & behind ( ron , xavier ) 
Leo sees Xavier	sem	see ( leo , xavier )
Ned sees Ned	sem	see ( ned , ned )
Olivia sees herself	sem	see ( olivia , olivia )
Grace sees herself	sem	see ( grace , grace )
Sarah near Kate runs	sem	 run ( sarah ) & near ( sarah , kate ) 
Thomas behind Ned sees himself	sem	 see ( thomas , thomas ) & behind ( thomas , ned ) 
Kate runs	sem	run ( kate )
Ellie by Ned sees Alice	sem	 see ( ellie , alice ) & by ( ellie , ned ) 
Leo sees himself	sem	see ( leo , leo )
Quinn by Quinn sees Daniel	sem	 see ( quinn , daniel ) & by ( quinn , quinn ) 
Bob by Kate sees Alice	sem	 see ( bob , alice ) & by ( bob , kate ) 
Victor sees Ynez	sem	see ( victor , ynez )
Kate runs	sem	run ( kate )
Grace runs	sem	run ( grace )
Quinn sees Alice	sem	see ( quinn , alice )
John sees Ron	sem	see ( john , ron )
Kate sees herself	sem	see ( kate , kate )
Mary near Quinn sees herself	sem	 see ( mary , mary ) & near ( mary , quinn ) 
Olivia runs	sem	run ( olivia )
Kate beside Zack sees Thomas	sem	 see ( kate , thomas ) & beside ( kate , zack ) 
Ellie behind Mary sees herself	sem	 see ( ellie , ellie ) & behind ( ellie , mary ) 
Claire behind Thomas sees Alice	sem	 see ( claire , alice ) & behind ( claire , thomas ) 
Daniel runs	sem	run ( daniel )
Mary near Ned sees Ynez	sem	 see ( mary , ynez ) & near ( mary , ned ) 
Sarah runs	sem	run ( sarah )
Willow by Xavier sees John	sem	 see ( willow , john ) & by ( willow , xavier ) 
Peter beside Isla runs	sem	 run ( peter ) & beside ( peter , isla ) 
Alice beside Ned runs	sem	 run ( alice ) & beside ( alice , ned ) 
Leo runs	sem	run ( leo )
Quinn sees Isla	sem	see ( quinn , isla )
Mary sees Mary	sem	see ( mary , mary )
Zack sees Bob	sem	see ( zack , bob )
Isla behind Quinn runs	sem	 run ( isla ) & behind ( isla , quinn ) 
Bob beside Thomas sees himself	sem	 see ( bob , bob ) & beside ( bob , thomas ) 
Mary by Leo sees herself	sem	 see ( mary , mary ) & by ( mary , leo ) 
Quinn runs	sem	run ( quinn )
Ron runs	sem	run ( ron )
Victor beside Peter sees Quinn	sem	 see ( victor , quinn ) & beside ( victor , peter ) 
Olivia by Willow sees Zack	sem	 see ( olivia , zack ) & by ( olivia , willow ) 
Zack sees Leo	sem	see ( zack , leo )
Alice runs	sem	run ( alice )
Leo beside Sarah sees Isla	sem	 see ( leo , isla ) & beside ( leo , sarah ) 
Olivia runs	sem	run ( olivia )
John sees himself	sem	see ( john , john )
Xavier by Leo runs	sem	 run ( xavier ) & by ( xavier , leo ) 
Quinn runs	sem	run ( quinn )
Kate near Olivia sees herself	sem	 see ( kate , kate ) & near ( kate , olivia ) 
Alice sees herself	sem	see ( alice , alice )
Xavier sees himself	sem	see ( xavier , xavier )
Ynez runs	sem	run ( ynez )
Alice behind Ron sees Ursa	sem	 see ( alice , ursa ) & behind ( alice , ron ) 
Henry near Henry runs	sem	 run ( henry ) & near ( henry , henry ) 
Bob sees Leo	sem	see ( bob , leo )
Alice near Mary sees herself	sem	 see ( alice , alice ) & near ( alice , mary ) 
Alice sees Quinn	sem	see ( alice , quinn )
Olivia runs	sem	run ( olivia )
Alice sees herself	sem	see ( alice , alice )
Zack beside Frank sees Isla	sem	 see ( zack , isla ) & beside ( zack , frank ) 
John by Sarah runs	sem	 run ( john ) & by ( john , sarah ) 
Ned runs	sem	run ( ned )
Thomas behind Sarah sees Leo	sem	 see ( thomas , leo ) & behind ( thomas , sarah ) 
Mary beside Quinn sees Ynez	sem	 see ( mary , ynez ) & beside ( mary , quinn ) 
Ron behind Peter sees Ellie	sem	 see ( ron , ellie ) & behind ( ron , peter ) 
Ellie behind Peter sees Peter	sem	 see ( ellie , peter ) & behind ( ellie , peter ) 
Ron near Victor sees Peter	sem	 see ( ron , peter ) & near ( ron , victor ) 
Mary sees Frank	sem	see ( mary , frank )
Victor near Ned sees Daniel	sem	 see ( victor , daniel ) & near ( victor , ned ) 
Isla runs	sem	run ( isla )
Ellie runs	sem	run ( ellie )
Zack sees Grace	sem	see ( zack , grace )
Isla runs	sem	run ( isla )
Sarah beside Grace sees herself	sem	 see ( sarah , sarah ) & beside ( sarah , grace ) 
Henry runs	sem	run ( henry )
Frank sees Leo	sem	see ( frank , leo )
Isla sees Ned	sem	see ( isla , ned )
Kate behind Zack sees Henry	sem	 see ( kate , henry ) & behind ( kate , zack ) 
Grace near Ron sees herself	sem	 see ( grace , grace ) & near ( grace , ron ) 
Ellie beside Isla sees Kate	sem	 see ( ellie , kate ) & beside ( ellie , isla ) 
Willow sees Thomas	sem	see ( willow , thomas )
Grace sees Henry	sem	see ( grace , henry )
Willow behind Quinn sees Zack	sem	 see ( willow , zack ) & behind ( willow , quinn ) 
Leo by Victor sees himself	sem	 see ( leo , leo ) & by ( leo , victor ) 
Thomas beside John runs	sem	 run ( thomas ) & beside ( thomas , john ) 
Zack runs	sem	run ( zack )
Willow sees Thomas	sem	see ( willow , thomas )
Alice near Bob sees herself	sem	 see ( alice , alice ) & near ( alice , bob ) 
John runs	sem	run ( john )
Kate sees herself	sem	see ( kate , kate )
Ned behind Mary runs	sem	 run ( ned ) & behind ( ned , mary ) 
Thomas sees Peter	sem	see ( thomas , peter )
Henry beside Kate runs	sem	 run ( henry ) & beside ( henry , kate ) 
John by Thomas runs	sem	 run ( john ) & by ( john , thomas ) 
Bob sees Ursa	sem	see ( bob , ursa )
Ursa behind Ron sees Bob	sem	 see ( ursa , bob ) & behind ( ursa , ron ) 
Bob beside Ursa runs	sem	 run ( bob ) & beside ( bob , ursa ) 
Xavier sees Ursa	sem	see ( xavier , ursa )
Mary beside Ron sees Leo	sem	 see ( mary , leo ) & beside ( mary , ron ) 
Claire sees Zack	sem	see ( claire , zack )
John beside Sarah runs	sem	 run ( john ) & beside ( john , sarah ) 
Ellie beside Isla runs	sem	 run ( ellie ) & beside ( ellie , isla ) 
Isla by Isla sees herself	sem	 see ( isla , isla ) & by ( isla , isla ) 
Grace sees herself	sem	see ( grace , grace )
Kate sees herself	sem	see ( kate , kate )
Daniel behind John sees Ron	sem	 see ( daniel , ron ) & behind ( daniel , john ) 
Daniel behind Ellie runs	sem	 run ( daniel ) & behind ( daniel , ellie ) 
Willow behind Leo sees herself	sem	 see ( willow , willow ) & behind ( willow , leo ) 
Willow near Isla sees herself	sem	 see ( willow , willow ) & near ( willow , isla ) 
Bob by Thomas runs	sem	 run ( bob ) & by ( bob , thomas ) 
Olivia runs	sem	run ( olivia )
Daniel near Claire runs	sem	 run ( daniel ) & near ( daniel , claire ) 
Ellie by Xavier sees Mary	sem	 see ( ellie , mary ) & by ( ellie , xavier ) 
Kate sees herself	sem	see ( kate , kate )
Zack sees Olivia	sem	see ( zack , olivia )
Ron runs	sem	run ( ron )
Claire sees Victor	sem	see ( claire , victor )
Sarah sees Willow	sem	see ( sarah , willow )
Isla sees Thomas	sem	see ( isla , thomas )
Ursa sees herself	sem	see ( ursa , ursa )
Ellie near Zack sees herself	sem	 see ( ellie , ellie ) & near ( ellie , zack ) 
Ursa behind Daniel sees Thomas	sem	 see ( ursa , thomas ) & behind ( ursa , daniel ) 
Sarah sees herself	sem	see ( sarah , sarah )
Ron behind Peter sees Grace	sem	 see ( ron , grace ) & behind ( ron , peter ) 
Victor beside Daniel runs	sem	 run ( victor ) & beside ( victor , daniel ) 
Daniel runs	sem	run ( daniel )
Ron sees Willow	sem	see ( ron , willow )
Olivia runs	sem	run ( olivia )
Frank near Thomas sees himself	sem	 see ( frank , frank ) & near ( frank , thomas ) 
Sarah near Sarah sees Peter	sem	 see ( sarah , peter ) & near ( sarah , sarah ) 
Henry runs	sem	run ( henry )
Peter by Frank sees Olivia	sem	 see ( peter , olivia ) & by ( peter , frank ) 
Peter by Quinn sees Willow	sem	 see ( peter , willow ) & by ( peter , quinn ) 
Kate by Sarah sees herself	sem	 see ( kate , kate ) & by ( kate , sarah ) 
Grace sees Sarah	sem	see ( grace , sarah )
Ursa sees Willow	sem	see ( ursa , willow )
Sarah beside Olivia runs	sem	 run ( sarah ) & beside ( sarah , olivia ) 
Zack behind Quinn sees himself	sem	 see ( zack , zack ) & behind ( zack , quinn ) 
Leo near Frank sees Alice	sem	 see ( leo , alice ) & near ( leo , frank ) 
Alice beside Willow runs	sem	 run ( alice ) & beside ( alice , willow ) 
Victor runs	sem	run ( victor )
Ned runs	sem	run ( ned )
Frank beside Daniel runs	sem	 run ( frank ) & beside ( frank , daniel ) 
Frank runs	sem	run ( frank )
Bob behind Quinn sees himself	sem	 see ( bob , bob ) & behind ( bob , quinn ) 
Henry behind John sees Quinn	sem	 see ( henry , quinn ) & behind ( henry , john ) 
Leo runs	sem	run ( leo )
Zack behind Sarah sees Thomas	sem	 see ( zack , thomas ) & behind ( zack , sarah ) 
Ron behind Ron sees himself	sem	 see ( ron , ron ) & behind ( ron , ron ) 
Ron sees Kate	sem	see ( ron , kate )
Frank near Ynez sees Zack	sem	 see ( frank , zack ) & near ( frank , ynez ) 
Frank behind Olivia sees Frank	sem	 see ( frank , frank ) & behind ( frank , olivia ) 
Leo runs	sem	run ( leo )
Ron runs	sem	run ( ron )
Leo near Sarah sees Grace	sem	 see ( leo , grace ) & near ( leo , sarah ) 
Olivia runs	sem	run ( olivia )
Zack sees Alice	sem	see ( zack , alice )
Alice runs	sem	run ( alice )
Peter by Olivia sees Ynez	sem	 see ( peter , ynez ) & by ( peter , olivia ) 
Frank beside Peter sees Henry	sem	 see ( frank , henry ) & beside ( frank , peter ) 
Alice sees Ron	sem	see ( alice , ron )
Ellie sees Kate	sem	see ( ellie , kate )
Grace runs	sem	run ( grace )
Ron sees Frank	sem	see ( ron , frank )
Peter sees John	sem	see ( peter , john )
Ellie sees Grace	sem	see ( ellie , grace )
Victor near Olivia runs	sem	 run ( victor ) & near ( victor , olivia ) 
Leo near Zack runs	sem	 run ( leo ) & near ( leo , zack ) 
John runs	sem	run ( john )
Victor sees himself	sem	see ( victor , victor )
Isla sees herself	sem	see ( isla , isla )
Frank by Mary runs	sem	 run ( frank ) & by ( frank , mary ) 
Willow beside Claire runs	sem	 run ( willow ) & beside ( willow , claire ) 
Quinn near Frank sees herself	sem	 see ( quinn , quinn ) & near ( quinn , frank ) 
Olivia near Alice sees herself	sem	 see ( olivia , olivia ) & near ( olivia , alice ) 
Peter runs	sem	run ( peter )
Ron near Grace runs	sem	 run ( ron ) & near ( ron , grace ) 
Quinn behind Xavier runs	sem	 run ( quinn ) & behind ( quinn , xavier ) 
Ned runs	sem	run ( ned )
Ursa sees Mary	sem	see ( ursa , mary )
Sarah behind Daniel runs	sem	 run ( sarah ) & behind ( sarah , daniel ) 
Ellie runs	sem	run ( ellie )
Zack near Willow runs	sem	 run ( zack ) & near ( zack , willow ) 
Ned by Willow runs	sem	 run ( ned ) & by ( ned , willow ) 
John runs	sem	run ( john )
Daniel by Leo sees Bob	sem	 see ( daniel , bob ) & by ( daniel , leo ) 
Kate sees Frank	sem	see ( kate , frank )
John beside Bob sees himself	sem	 see ( john , john ) & beside ( john , bob ) 
Ron sees Ellie	sem	see ( ron , ellie )
Daniel beside Leo runs	sem	 run ( daniel ) & beside ( daniel , leo ) 
Henry by Kate sees Ellie	sem	 see ( henry , ellie ) & by ( henry , kate ) 
John beside Quinn sees Ron	sem	 see ( john , ron ) & beside ( john , quinn ) 
Willow beside Bob sees Daniel	sem	 see ( willow , daniel ) & beside ( willow , bob ) 
Daniel beside Zack runs	sem	 run ( daniel ) & beside ( daniel , zack ) 
Olivia sees Ron	sem	see ( olivia , ron )
Thomas beside Victor runs	sem	 run ( thomas ) & beside ( thomas , victor ) 
Willow sees herself	sem	see ( willow , willow )
Henry runs	sem	run ( henry )
Isla beside Frank runs	sem	 run ( isla ) & beside ( isla , frank ) 
Mary sees herself	sem	see ( mary , mary )
Thomas sees Grace	sem	see ( thomas , grace )
Isla sees herself	sem	see ( isla , isla )
Claire sees Thomas	sem	see ( claire , thomas )
Henry by Ynez sees himself	sem	 see ( henry , henry ) & by ( henry , ynez ) 
Zack beside Isla runs	sem	 run ( zack ) & beside ( zack , isla ) 
Claire behind Daniel sees herself	sem	 see ( claire , claire ) & behind ( claire , daniel ) 
Ned beside Bob sees Frank	sem	 see ( ned , frank ) & beside ( ned , bob ) 
Kate beside Zack sees Thomas	sem	 see ( kate , thomas ) & beside ( kate , zack ) 
Daniel by Isla runs	sem	 run ( daniel ) & by ( daniel , isla ) 
Quinn sees Ron	sem	see ( quinn , ron )
Quinn by Grace runs	sem	 run ( quinn ) & by ( quinn , grace ) 
Claire runs	sem	run ( claire )
John beside Kate runs	sem	 run ( john ) & beside ( john , kate ) 
Quinn beside Henry sees Henry	sem	 see ( quinn , henry ) & beside ( quinn , henry ) 
Zack behind Peter runs	sem	 run ( zack ) & behind ( zack , peter ) 
Henry near Ynez runs	sem	 run ( henry ) & near ( henry , ynez ) 
Ron by Claire sees himself	sem	 see ( ron , ron ) & by ( ron , claire ) 
Quinn near Willow sees herself	sem	 see ( quinn , quinn ) & near ( quinn , willow ) 
Zack sees himself	sem	see ( zack , zack )
Ynez sees herself	sem	see ( ynez , ynez )
Ron by Peter runs	sem	 run ( ron ) & by ( ron , peter ) 
Willow beside Frank runs	sem	 run ( willow ) & beside ( willow , frank ) 
Ellie by Ynez sees herself	sem	 see ( ellie , ellie ) & by ( ellie , ynez ) 
Alice runs	sem	run ( alice )
Ellie by Willow runs	sem	 run ( ellie ) & by ( ellie , willow ) 
Ned behind Willow runs	sem	 run ( ned ) & behind ( ned , willow ) 
Bob beside Bob sees Daniel	sem	 see ( bob , daniel ) & beside ( bob , bob ) 
Ursa sees Bob	sem	see ( ursa , bob )
Frank by Ursa runs	sem	 run ( frank ) & by ( frank , ursa ) 
Ron behind Grace sees himself	sem	 see ( ron , ron ) & behind ( ron , grace ) 
Peter runs	sem	run ( peter )
Alice by Willow sees Leo	sem	 see ( alice , leo ) & by ( alice , willow ) 
Olivia runs	sem	run ( olivia )
Mary near Olivia sees herself	sem	 see ( mary , mary ) & near ( mary , olivia ) 
Victor sees John	sem	see ( victor , john )
Claire sees herself	sem	see ( claire , claire )
Ursa by John sees Olivia	sem	 see ( ursa , olivia ) & by ( ursa , john ) 
Grace beside Peter sees Daniel	sem	 see ( grace , daniel ) & beside ( grace , peter ) 
Kate sees herself	sem	see ( kate , kate )
Bob sees himself	sem	see ( bob , bob )
Bob sees Isla	sem	see ( bob , isla )
Zack sees Sarah	sem	see ( zack , sarah )
Ellie sees Zack	sem	see ( ellie , zack )
Bob behind Zack sees Xavier	sem	 see ( bob , xavier ) & behind ( bob , zack ) 
Quinn runs	sem	run ( quinn )
Ron beside Willow runs	sem	 run ( ron ) & beside ( ron , willow ) 
Mary runs	sem	run ( mary )
Bob by Willow runs	sem	 run ( bob ) & by ( bob , willow ) 
Sarah runs	sem	run ( sarah )
Thomas beside Isla sees Kate	sem	 see ( thomas , kate ) & beside ( thomas , isla ) 
Peter runs	sem	run ( peter )
John sees Olivia	sem	see ( john , olivia )
Mary sees Ned	sem	see ( mary , ned )
Henry beside Thomas sees Thomas	sem	 see ( henry , thomas ) & beside ( henry , thomas ) 
Ynez beside John sees herself	sem	 see ( ynez , ynez ) & beside ( ynez , john ) 
Thomas beside Ned sees himself	sem	 see ( thomas , thomas ) & beside ( thomas , ned ) 
Peter near Quinn sees Grace	sem	 see ( peter , grace ) & near ( peter , quinn ) 
Ursa sees herself	sem	see ( ursa , ursa )
Claire behind Quinn runs	sem	 run ( claire ) & behind ( claire , quinn ) 
Grace sees Ellie	sem	see ( grace , ellie )
Sarah by Peter sees herself	sem	 see ( sarah , sarah ) & by ( sarah , peter ) 
Quinn runs	sem	run ( quinn )
Mary beside Ynez sees Isla	sem	 see ( mary , isla ) & beside ( mary , ynez ) 
Grace sees Willow	sem	see ( grace , willow )
Thomas behind Henry sees Kate	sem	 see ( thomas , kate ) & behind ( thomas , henry ) 
Bob sees Ron	sem	see ( bob , ron )
Ellie by Claire sees herself	sem	 see ( ellie , ellie ) & by ( ellie , claire ) 
Henry sees himself	sem	see ( henry , henry )
Bob near Ynez sees himself	sem	 see ( bob , bob ) & near ( bob , ynez ) 
Grace near Victor sees herself	sem	 see ( grace , grace ) & near ( grace , victor ) 
Bob beside Ynez sees himself	sem	 see ( bob , bob ) & beside ( bob , ynez ) 
Ellie near Alice sees Ellie	sem	 see ( ellie , ellie ) & near ( ellie , alice ) 
Peter near Victor sees himself	sem	 see ( peter , peter ) & near ( peter , victor ) 
Ellie sees Daniel	sem	see ( ellie , daniel )
Frank sees Kate	sem	see ( frank , kate )
Kate beside John sees Olivia	sem	 see ( kate , olivia ) & beside ( kate , john ) 
Willow beside Ron sees herself	sem	 see ( willow , willow ) & beside ( willow , ron ) 
Zack near Ron sees Ron	sem	 see ( zack , ron ) & near ( zack , ron ) 
Xavier sees Xavier	sem	see ( xavier , xavier )
Mary near Xavier runs	sem	 run ( mary ) & near ( mary , xavier ) 
Willow beside Leo sees Daniel	sem	 see ( willow , daniel ) & beside ( willow , leo ) 
Xavier by Grace sees Xavier	sem	 see ( xavier , xavier ) & by ( xavier , grace ) 
John near Mary sees Thomas	sem	 see ( john , thomas ) & near ( john , mary ) 
Kate by Ron runs	sem	 run ( kate ) & by ( kate , ron ) 
Xavier sees Bob	sem	see ( xavier , bob )
Ron runs	sem	run ( ron )
Thomas by Ursa sees Frank	sem	 see ( thomas , frank ) & by ( thomas , ursa ) 
Zack sees himself	sem	see ( zack , zack )
Frank beside Ursa runs	sem	 run ( frank ) & beside ( frank , ursa ) 
Quinn sees Willow	sem	see ( quinn , willow )
Isla beside Leo runs	sem	 run ( isla ) & beside ( isla , leo ) 
Zack behind Leo sees Zack	sem	 see ( zack , zack ) & behind ( zack , leo ) 
Kate runs	sem	run ( kate )
Quinn runs	sem	run ( quinn )
Ursa behind Xavier sees Ellie	sem	 see ( ursa , ellie ) & behind ( ursa , xavier ) 
Mary runs	sem	run ( mary )
Peter runs	sem	run ( peter )
Zack behind Quinn runs	sem	 run ( zack ) & behind ( zack , quinn ) 
Mary sees Quinn	sem	see ( mary , quinn )
Xavier runs	sem	run ( xavier )
Sarah by Alice sees herself	sem	 see ( sarah , sarah ) & by ( sarah , alice ) 
Zack sees Zack	sem	see ( zack , zack )
Sarah by Ned sees Peter	sem	 see ( sarah , peter ) & by ( sarah , ned ) 
Peter behind Kate sees Henry	sem	 see ( peter , henry ) & behind ( peter , kate ) 
Peter sees Daniel	sem	see ( peter , daniel )
Bob runs	sem	run ( bob )
Zack sees himself	sem	see ( zack , zack )
